
 METHOD: GET, Route: /api/users, Time: 1707408778996, IP: ::1
 METHOD: PATCH, Route: /api/users/65cbeed13a0b3c1b78a02da6, Time: 1707863970919, IP: ::1
 METHOD: GET, Route: /api/users/65cbeed13a0b3c1b78a02da6, Time: 1707863977752, IP: ::1
 METHOD: GET, Route: /users/, Time: 1707863981437, IP: ::1
 METHOD: PATCH, Route: /api/users/65cbef053a0b3c1b78a02da8, Time: 1707864013741, IP: ::1
 METHOD: GET, Route: /users/, Time: 1707864027697, IP: ::1
 METHOD: GET, Route: /api/users/, Time: 1707864032073, IP: ::1
 METHOD: GET, Route: /api/users/, Time: 1707864484468, IP: ::1
 METHOD: GET, Route: /api/users/, Time: 1707864485448, IP: ::1
 METHOD: GET, Route: /api/users/, Time: 1707864486525, IP: ::1
 METHOD: GET, Route: /, Time: 1707864489337, IP: ::1
 METHOD: GET, Route: /, Time: 1707864490468, IP: ::1
 METHOD: GET, Route: /api/users/, Time: 1707864493743, IP: ::1
 METHOD: GET, Route: /api/users/65caee523db5fa7ef5764be1, Time: 1707864496798, IP: ::1
 METHOD: POST, Route: /api/users, Time: 1707864505488, IP: ::1
 METHOD: POST, Route: /api/users, Time: 1707864513953, IP: ::1
 METHOD: GET, Route: /users/, Time: 1707864561865, IP: ::1
 METHOD: GET, Route: /users/, Time: 1707864605855, IP: ::1
 METHOD: PATCH, Route: /api/users/65cbf1b9c82ff8b03f7d5916, Time: 1707864632008, IP: ::1
 METHOD: PATCH, Route: /api/users/65cbf1b9c82ff8b03f7d5916, Time: 1707864642337, IP: ::1
 METHOD: PATCH, Route: /api/users/65cbf1b9c82ff8b03f7d5916, Time: 1707864668250, IP: ::1
 METHOD: PATCH, Route: /api/users/65cbf1b9c82ff8b03f7d5916, Time: 1707864757313, IP: ::1
 METHOD: PATCH, Route: /api/users/65cbf1b9c82ff8b03f7d5916, Time: 1707864985645, IP: ::1
 METHOD: GET, Route: /users/, Time: 1707865089066, IP: ::1
 METHOD: PATCH, Route: /api/users/65cbf1b9c82ff8b03f7d5916, Time: 1707865102879, IP: ::1
 METHOD: GET, Route: /users/, Time: 1707865132599, IP: ::1
 METHOD: PATCH, Route: /api/users/65cbf1b9c82ff8b03f7d5916, Time: 1707865186436, IP: ::1
 METHOD: GET, Route: /users/, Time: 1707865193227, IP: ::1
 METHOD: GET, Route: /users/, Time: 1707865193838, IP: ::1
 METHOD: GET, Route: /users/, Time: 1707865194057, IP: ::1
 METHOD: GET, Route: /users/, Time: 1707865194291, IP: ::1
 METHOD: GET, Route: /users/, Time: 1707865194440, IP: ::1
 METHOD: GET, Route: /users/, Time: 1707865194668, IP: ::1
 METHOD: GET, Route: /users/, Time: 1707865194881, IP: ::1
